CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,30.26313074850479,30.257907962767423,-0.348,2.0,-0.0
2.0,2.0,17.067984430184186,17.790856603299932,-0.172,29.0,0.005
3.0,3.0,14.050539411168744,15.03389670952721,-0.238,18.0,0.006
4.0,4.0,17.992085369373545,18.357884251306878,-0.076,61.0,0.0
5.0,5.0,14.275692553807408,19.1880910661034,-0.058,34.0,0.011
6.0,6.0,18.820712230690592,18.08435472087427,-0.215,28.0,-0.002
7.0,7.0,15.087702456298972,21.99103360905436,-0.064,55.0,0.01
8.0,8.0,5.491121612710071,6.776694163077081,-0.092,59.0,0.002
9.0,9.0,19.91194488941041,23.563243141903925,-0.095,29.0,0.01
10.0,10.0,22.665563215720717,30.71026298741527,-0.0,56.0,0.008
11.0,11.0,33.09117866940126,33.43041206836898,-0.23,2.0,0.007
12.0,12.0,14.445448703420508,19.69898926164751,-0.046,54.0,0.008
13.0,13.0,34.846167484934945,38.647151407839154,0.011,81.0,0.003
14.0,14.0,19.262767694431982,22.24170555031799,0.107,23.0,0.009
15.0,15.0,18.67673262562184,25.47845862226671,0.147,52.0,0.009
16.0,16.0,25.166663460866324,28.067679362935145,0.064,25.0,0.006
17.0,17.0,17.023504231877073,17.23630333189942,-0.318,3.0,0.006
18.0,18.0,29.713043159740916,33.38559219217025,-1.18,4.0,0.061
19.0,19.0,21.75030810983697,24.578361001185023,0.148,35.0,0.006
20.0,21.0,29.528985581741438,29.53148905998399,0.004,75.0,0.0
21.0,22.0,36.20937181596317,40.21075615759061,0.046,28.0,0.006
22.0,23.0,18.06827829816345,18.77677572722564,-0.005,176.0,0.0
23.0,24.0,16.750510752392326,45.00465660449802,0.002,28.0,0.028
24.0,26.0,17.282362615383576,25.32063923320854,-2.647,2.0,0.219
25.0,27.0,20.59015198998524,25.751860886251574,0.272,27.0,0.012
26.0,28.0,22.3029860910598,22.172847976098698,0.344,15.0,0.0
